,title,subtitle,link
67,FOUR GONE CONCLUSION,Four more Man Utd stars could LEAVE this month as Savage heads out,https://www.thesun.co.uk/sport/21178600/man-utd-leave-transfer-charlie-savage-loan/
68,PROMOTION,"Best football betting sites in the UK: Top online bookies for January, 2023",https://www.thesun.co.uk/betting/20574123/best-football-betting-sites/
69,BIG OFFER,Betfair free bets: Stake £10 on football to get £30 bonus - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19802970/betfair-free-bets-sign-up-bonus-football/
70,REVIEW,The best online casinos in the UK: Top 20 casino sites for January 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
71,SPECIAL DAY,Mourinho gets cake for 60th birthday... and gives just ONE Roma star a slice,https://www.thesun.co.uk/sport/21179675/jose-mourinho-cake-roma-players-birthday/
72,LOVE IS BLIND,Herrera pokes fun at himself after brutal snub in Bilbao celebration,https://www.thesun.co.uk/sport/21189006/man-utd-herrera-williams-goal-snub-athletic-bilbao/
73,UR LUCKY,Uruguay stars slapped with bans after causing chaos at World Cup 2022,https://www.thesun.co.uk/sport/21189578/uruguay-jose-gimenez-edinson-cavani-bans-world-cup-fifa/
74,KOL SHOULDER,Toure SACKED by Wigan after just two months as he fails to win any of 9 games,https://www.thesun.co.uk/sport/21178929/kolo-toure-sacked-wigan-arsenal/
75,WATCH THIS SPACE,"Ronaldo gifted £630,000 one-of-a-kind Saudi-inspired Jacob & Co watch",https://www.thesun.co.uk/sport/21169984/cristiano-ronaldo-gifted-saudi-inspired-jacob-watch/
76,FOOTIE TRAGEDY,"Tributes flood in for amateur footballer, 20, after sudden death",https://www.thesun.co.uk/sport/21187828/amateur-footballer-luke-abrahams-dead-tributes/
77,CRIS BLISS,Piers Morgan says Ronaldo is 'loving it on and off the pitch' in Saudi Arabia,https://www.thesun.co.uk/sport/21193674/ronaldo-piers-morgan-saudi-arabia-text/
78,INC-REDIBLE,Ince reveals the one Man Utd player he hopes doesn't feature in FA Cup clash,https://www.thesun.co.uk/sport/21181252/man-utd-paul-ince-reading-fa-cup-old-trafford/
79,REF FEARS,Clattenburg flees Egypt after abuse as club boss claims ref in gay relationship,https://www.thesun.co.uk/sport/21154929/mark-clattenburg-flee-egypt-abuse-referee-gay/
80,TROY DEENEY,"Black footballers are angry at John Yems, I can't deal with someone so ignorant",https://www.thesun.co.uk/sport/21114804/black-footballer-fury-yems-deeney-column/
81,KARREN BRADY,Premier League is UK's best asset but it must remain elite to retain success,https://www.thesun.co.uk/sport/21115590/premier-league-success-uk-desired-asset-elite-competition-brady/
82,MARK IRWIN,Arsenal vs Man Utd is the biggest game in English football again,https://www.thesun.co.uk/sport/21130484/mark-irwin-arsenal-man-utd-arteta-ten-hag/
83,GIRL POWER,"Footballers’ Wags who rebelled, like slamming players' 'disgusting' clubs",https://www.thesun.co.uk/sport/21170695/footballers-wags-rebelling-slamming-clubs/
84,COR BLIMEY,Mexico star Cortes shocks fans by promoting wife's OnlyFans modelling career,https://www.thesun.co.uk/sport/21164390/mexico-javier-cortes-onlyfans-modelling-career/
85,WONDER WAG,Sergio Ramos' stunning wife Pilar Rubio wows in a tiny grey lingerie set,https://www.thesun.co.uk/sport/21179115/sergio-ramos-wife-pilar-rubio-lingerie/
